datetime,cooling_channel0,cooling_channel1,cooling_channel10,cooling_channel11,maxigauge_channel1,maxigauge_channel2,maxigauge_channel3,maxigauge_channel4,maxigauge_channel5,maxigauge_channel6,temperature_channel1,temperature_channel2,temperature_channel5,temperature_channel6,sample_id
2023-09-23 23:56:00,-2.5511045222948883,-2.2718459598943883,-2.656692065098704,-2.4688598744243504,6.291295040953474,4.509353355797777,0.048411329272993374,-0.04651285303059608,0.5106074406043621,1.1974254749528377,0.9365718423799504,1.0185150305452355,0.949790892141661,1.215823444606196,0
2023-09-23 23:56:30,-2.530507837293986,-2.28034482806455,-2.7263021364356446,-2.58551345491243,5.065049881050474,4.320229897454068,-0.19207358240465774,-0.2176094524066144,0.7379957465198201,1.3793088932071502,1.3031482069498244,1.356066886651203,1.2888913467524938,1.1178258298643824,0
2023-09-23 23:57:00,-2.5262969195824474,-2.287761409782524,-2.7843059496093208,-2.6674591267580454,4.638902391942472,4.074191783285633,-0.3894177535640506,-0.38596822884918613,0.9409717047870633,1.4896686079742163,1.5833735423208803,1.62181182346048,1.5580707970300804,1.0404520962435164,0
2023-09-23 23:57:30,-2.5352456563545944,-2.3034107825292476,-2.828516923250316,-2.730068053644121,4.506078203542592,3.9112334884145374,-0.5414809741522973,-0.5081780188074981,1.1138451104361877,1.5594610800038398,1.8057741379293655,1.8471094552302332,1.774380162062188,0.982823229318089,0
2023-09-23 23:58:00,-2.5481519078907393,-2.3213981589786443,-2.8622627994926795,-2.7766707365126266,4.464219006195201,3.837566852773077,-0.6599138237749813,-0.5886339887689079,1.2583989075265467,1.605725572158879,1.9911109394731994,2.0396200452441273,1.9527429046798583,0.9319957839422285,0
2023-09-23 23:58:30,-2.5600565356975937,-2.3378950324735266,-2.888708619204023,-2.8101734105415317,4.453210655363503,3.8141254972647354,-0.7549523370485365,-0.640729863709605,1.3797322751725192,1.6386822303853623,2.1503662322438535,2.202596317301486,2.1037662597133884,0.8861417308454248,0
2023-09-23 23:59:00,-2.569214132578898,-2.3518637865409784,-2.909338756940613,-2.833729990418644,4.460375375568397,3.813733126261638,-0.8331988355799514,-0.6752149091237631,1.4825231434679254,1.6637517144337888,2.2889814356010785,2.340452622818288,2.2342633650723975,0.8467819304702016,0
2023-09-23 23:59:30,-2.5753795792030907,-2.3632734384574334,-2.924964501148347,-2.8500129989238676,4.482986402252734,3.8244229952574753,-0.8989390802587254,-0.6990276689426717,1.570370532467816,1.6836078953429887,2.410139750140396,2.4579232904044446,2.348480691775494,0.814573682890904,0
2023-09-24 00:00:00,-2.5789116041022324,-2.3723506994973027,-2.9363454861446683,-2.8610472563910414,4.518263305247246,3.8415004807761344,-0.9550565348481346,-0.7163016546596016,1.646014786412954,1.6996335272998269,2.5162248700543897,2.5590402442284557,2.4491512500408175,0.7890404353884055,0
2023-09-24 00:00:30,-2.580357735486478,-2.379408140342756,-2.944281613810314,-2.868320584050531,4.562476703766694,3.862684663471282,-1.0035436942869005,-0.7294185491408657,1.711571569944394,1.712649181248018,2.609267589381479,2.6469023859892014,2.5381936082032768,0.7691720242363961,0
